iter	Passed	Remaining
845	1787	325
846	1790	323
847	1792	321
848	1794	319
849	1796	316
850	1797	314
851	1799	312
852	1800	310
853	1801	308
854	1802	305
855	1805	303
856	1808	301
857	1809	299
858	1811	297
859	1812	295
860	1813	292
861	1814	290
862	1815	288
863	1817	286
864	1818	283
865	1819	281
866	1822	279
867	1825	277
868	1827	275
869	1828	273
870	1830	271
871	1831	268
872	1833	266
873	1836	264
874	1837	262
875	1839	260
876	1841	258
877	1842	256
878	1845	254
879	1847	251
880	1848	249
881	1849	247
882	1851	245
883	1852	243
884	1854	241
885	1855	238
886	1856	236
887	1858	234
888	1859	232
889	1862	230
890	1863	227
891	1866	225
892	1867	223
893	1870	221
894	1871	219
895	1873	217
896	1875	215
897	1877	213
898	1879	211
899	1881	209
900	1882	206
901	1884	204
902	1887	202
903	1888	200
904	1890	198
905	1891	196
906	1893	194
907	1894	191
908	1896	189
909	1899	187
910	1900	185
911	1903	183
912	1911	182
913	1913	180
914	1915	177
915	1919	176
916	1921	173
917	1923	171
918	1926	169
919	1928	167
920	1930	165
921	1931	163
922	1932	161
923	1935	159
924	1937	157
925	1939	155
926	1942	152
927	1945	150
928	1946	148
929	1948	146
930	1950	144
931	1951	142
932	1954	140
933	1955	138
934	1957	136
935	1959	133
936	1961	131
937	1963	129
938	1965	127
939	1968	125
940	1970	123
941	1972	121
942	1974	119
943	1976	117
944	1978	115
945	1980	113
946	1981	110
947	1982	108
948	1983	106
949	1985	104
950	1987	102
951	1989	100
952	1991	98
953	1993	96
954	1994	93
955	1996	91
956	1998	89
957	2000	87
958	2001	85
959	2003	83
960	2005	81
961	2008	79
962	2010	77
963	2011	75
964	2013	73
965	2016	70
966	2018	68
967	2020	66
968	2022	64
969	2024	62
970	2026	60
971	2028	58
972	2029	56
973	2031	54
974	2034	52
975	2036	50
976	2038	47
977	2040	45
978	2042	43
979	2044	41
980	2046	39
981	2048	37
982	2050	35
983	2052	33
984	2054	31
985	2055	29
986	2057	27
987	2058	25
988	2060	22
989	2063	20
990	2065	18
991	2066	16
992	2068	14
993	2070	12
994	2071	10
995	2073	8
996	2074	6
997	2075	4
998	2077	2
999	2081	0
